22:42:40,946 INFO  [org.apache.activemq.artemis.integration.bootstrap] AMQ101000: Starting ActiveMQ Artemis Server
22:49:17,703 WARN  [org.apache.activemq.artemis.spi.core.protocol.MessagePersister] Cannot find persister for org.apache.activemq.artemis.core.protocol.stomp.StompProtocolManagerFactory@3c419631
22:49:17,703 INFO  [org.apache.activemq.artemis.core.server] AMQ221043: Protocol module found: [artemis-stomp-protocol]. Adding protocol support for: STOMP
22:49:17,834 INFO  [org.apache.activemq.artemis.core.server] AMQ221034: Waiting indefinitely to obtain live lock
22:49:17,834 INFO  [org.apache.activemq.artemis.core.server] AMQ221035: Live Server Obtained live lock
22:49:18,711 INFO  [org.apache.activemq.artemis.core.server] AMQ221003: Deploying queue DLQ
22:49:18,745 INFO  [org.apache.activemq.artemis.core.server] AMQ221003: Deploying queue ExpiryQueue
22:49:19,321 INFO  [org.apache.activemq.artemis.core.server] AMQ221020: Started Acceptor at 0.0.0.0:61616 for protocols [CORE,MQTT,AMQP,STOMP,HORNETQ,OPENWIRE]
22:49:19,335 INFO  [org.apache.activemq.artemis.core.server] AMQ221020: Started Acceptor at 0.0.0.0:5445 for protocols [HORNETQ,STOMP]
22:49:19,348 INFO  [org.apache.activemq.artemis.core.server] AMQ221020: Started Acceptor at 0.0.0.0:5672 for protocols [AMQP]
22:49:19,360 INFO  [org.apache.activemq.artemis.core.server] AMQ221020: Started Acceptor at 0.0.0.0:1883 for protocols [MQTT]
22:49:19,372 INFO  [org.apache.activemq.artemis.core.server] AMQ221020: Started Acceptor at 0.0.0.0:61613 for protocols [STOMP]
22:49:19,463 INFO  [org.apache.activemq.artemis.core.server] AMQ221007: Server is now live
22:49:19,463 INFO  [org.apache.activemq.artemis.core.server] AMQ221001: Apache ActiveMQ Artemis Message Broker version 2.0.0 [0.0.0.0, nodeID=e17747ec-342e-11e7-ba27-0a002700000e] 
22:49:19,993 INFO  [org.apache.activemq.artemis] AMQ241001: HTTP Server started at http://localhost:8161
22:49:19,993 INFO  [org.apache.activemq.artemis] AMQ241002: Artemis Jolokia REST API available at http://localhost:8161/jolokia
